0.47263,0.34451,0.28557,0.30411,0.32048,0.32139
0.27868,0.20692,0.19781,0.19758,0.19824,0.19772
0.44398,0.4207,0.40018,0.39195,0.38618,0.38218
0.043574,0.15625,0.21998,0.10969,0.085598,0.080005
0.21861,0.15406,0.12808,0.1056,0.10255,0.12205
0.33137,0.32188,0.33472,0.31687,0.29916,0.29196
0.07819,0.075468,0.11859,0.15413,0.15227,0.153
0.35633,0.34425,0.36384,0.3747,0.36089,0.34634
0.38203,0.3559,0.35519,0.27734,0.22286,0.24444
0.046538,0.090826,0.15524,0.28963,0.3449,0.34349
0.15876,0.15689,0.15675,0.16748,0.22348,0.2596
0.14239,0.14784,0.15417,0.156,0.15193,0.14732
0.13025,0.061132,0.0639,0.07722,0.082297,0.080912
0.19168,0.26552,0.288,0.28386,0.28165,0.2862
0.25851,0.23165,0.2183,0.21923,0.23233,0.27373
0.39429,0.36828,0.35255,0.34832,0.34724,0.34275
0.28659,0.41909,0.43463,0.43006,0.41687,0.40971
0.11707,0.19906,0.3093,0.36029,0.38518,0.38383
0.12009,0.40633,0.44772,0.40469,0.33276,0.28488
0.1719,0.13048,0.11849,0.10764,0.10586,0.11054
0.19056,0.22068,0.20805,0.22868,0.30162,0.32617
0.32881,0.24033,0.22183,0.21982,0.21939,0.21905
0.08998,0.066996,0.039489,0.035477,0.075055,0.13931
0.17568,0.2075,0.22368,0.22198,0.21324,0.20742
0.36958,0.34082,0.32802,0.31903,0.30814,0.38665
0.24756,0.2801,0.32742,0.35835,0.36761,0.37018
0.096736,0.18784,0.25906,0.26397,0.26408,0.2705
0.17288,0.1463,0.16007,0.21703,0.28795,0.33103
0.12329,0.13999,0.16563,0.16984,0.16486,0.16241
0.17079,0.30888,0.37369,0.39961,0.42659,0.44182
0.20262,0.35889,0.33439,0.29133,0.24885,0.22766
0.21823,0.20956,0.21053,0.22171,0.29661,0.34877
0.086872,0.053296,0.082453,0.077091,0.083599,0.11079
0.34924,0.332,0.30414,0.29161,0.29208,0.29468
0.12108,0.091566,0.36719,0.39815,0.34384,0.31405
0.19707,0.38284,0.31224,0.30302,0.29545,0.29313
0.080126,0.057402,0.048492,0.052183,0.060613,0.071435
0.11674,0.11425,0.1086,0.096059,0.08875,0.084522
0.024677,0.26566,0.23665,0.18616,0.14462,0.12796
0.077188,0.11626,0.22905,0.29016,0.29564,0.28793
0.26086,0.16468,0.12463,0.10144,0.089245,0.084924
0.04582,0.063251,0.088849,0.094502,0.073509,0.071553
0.094713,0.19394,0.19041,0.17313,0.16835,0.16383
0.10161,0.063747,0.053224,0.053618,0.066437,0.07375
0.316,0.37414,0.39225,0.39402,0.3841,0.37919
0.11917,0.0915,0.091139,0.09336,0.088671,0.081341
0.13269,0.15019,0.16149,0.12865,0.1007,0.094871
0.67063,0.69387,0.70097,0.70189,0.69979,0.69949
0.26791,0.17781,0.15449,0.15179,0.17233,0.17707
0.21223,0.16522,0.14084,0.13752,0.12856,0.12041
0.79302,0.78463,0.78478,0.77982,0.76753,0.76299
0.17791,0.11398,0.12857,0.1473,0.16528,0.16691
0.063519,0.095601,0.10336,0.093186,0.080388,0.077025
0.25752,0.15577,0.12747,0.1437,0.12476,0.12233
0.24478,0.19965,0.16088,0.12767,0.1617,0.24724
0.18998,0.14131,0.11369,0.12896,0.054021,0.04194
0.29974,0.24223,0.22294,0.2267,0.23794,0.249
0.6368,0.65063,0.68272,0.65491,0.62436,0.61354
0.23953,0.49499,0.52747,0.5009,0.48022,0.47259
0.24753,0.60055,0.69541,0.67261,0.64056,0.61188
0.20942,0.19382,0.17596,0.15867,0.14737,0.14442
0.22216,0.13895,0.087612,0.05507,0.049232,0.052577
